poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,dem,rep,ind
83436,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,8/2/23,8/4/23,,"",,179043,7439,rv,,rv,TRUE,8/17/23 10:16,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83379,1347,Cygnal Political,"","",Cygnal,67,Cygnal,A,,,8/1/23,8/3/23,,"",,178676,2000,lv,,lv,,8/10/23 09:57,"",https://www.cygn.al/new-monthly-national-poll-majority-support-abortion-ban-vivek-rises-biden-corruption-probe-gains-steam-half-believe-government-lied-about-ufos-and-more/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.4,45.3,
83437,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,8/1/23,8/3/23,,"",,179044,7439,rv,,rv,TRUE,8/17/23 10:18,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,42.0,
83438,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/31/23,8/2/23,,"",,179045,7439,rv,,rv,TRUE,8/17/23 10:18,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83439,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/30/23,8/1/23,,"",,179046,7439,rv,,rv,TRUE,8/17/23 10:19,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,42.0,
83331,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/29/23,8/1/23,,"",,178374,1324,rv,,rv,,8/2/23 10:19,"",https://docs.cdn.yougov.com/nrdcezwpcn/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,43.0,
83440,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/29/23,7/31/23,,"",,179047,7439,rv,,rv,TRUE,8/17/23 10:20,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,42.0,
83441,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/28/23,7/30/23,,"",,179048,7439,rv,,rv,TRUE,8/17/23 10:21,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,42.0,
83330,294,McLaughlin,1989,America's New Majority Project,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,7/27/23,7/30/23,,"",,178315,2000,lv,,lv,,8/2/23 09:20,"",https://americasnewmajorityproject.com/wp-content/uploads/2023/08/20230727-30-National-ANMP-Topline.pdf,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,39.8,44.2,
83442,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/27/23,7/29/23,,"",,179049,7439,rv,,rv,TRUE,8/17/23 10:22,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
83443,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/26/23,7/28/23,,"",,179050,7439,rv,,rv,TRUE,8/17/23 10:23,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
83444,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/25/23,7/27/23,,"",,179051,7439,rv,,rv,TRUE,8/17/23 10:25,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
83316,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,A/B,Online Panel,,7/24/23,7/27/23,,"",,178210,1013,lv,,lv,,7/31/23 21:30,"",https://echelonin.wpenginepowered.com/wp-content/uploads/July-2023-Omnibus-Topline-EXTERNAL.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,45.0,
83445,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/24/23,7/26/23,,"",,179052,7439,rv,,rv,TRUE,8/17/23 10:26,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83446,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/23/23,7/25/23,,"",,179053,7439,rv,,rv,TRUE,8/17/23 10:27,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83287,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/22/23,7/25/23,,"",,176124,1306,rv,,rv,,7/26/23 10:07,"",https://docs.cdn.yougov.com/pvpz4fi6ym/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,39.0,
83447,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/22/23,7/24/23,,"",,179054,7439,rv,,rv,TRUE,8/17/23 10:28,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,42.0,
83290,294,McLaughlin,"","",McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,7/19/23,7/24/23,,"",,176144,1000,lv,,lv,,7/26/23 13:28,"",https://mclaughlinonline.com/pols/wp-content/uploads/2023/07/National-July-Presentation-RELEASE-07-24-23.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,48.0,
83448,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/21/23,7/23/23,,"",,179055,7439,rv,,rv,TRUE,8/17/23 10:28,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,42.0,
83449,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/20/23,7/22/23,,"",,179056,7439,rv,,rv,TRUE,8/17/23 10:28,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,42.0,
83450,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/19/23,7/21/23,,"",,179057,7439,rv,,rv,TRUE,8/17/23 10:29,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,42.0,
83451,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/18/23,7/20/23,,"",,179058,7439,rv,,rv,TRUE,8/17/23 10:29,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83452,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/17/23,7/19/23,,"",,179059,7439,rv,,rv,TRUE,8/17/23 10:29,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,44.0,
83307,1701,NewsNation/Decision Desk HQ,"","",NewsNation,696,NewsNation,B/C,Online Panel,,7/17/23,7/18/23,,"",,177410,1000,rv,,rv,,7/27/23 15:37,"",https://www.newsnationnow.com/polls/poll-what-do-voters-think-about-crime-in-the-us/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.57,44.83,
83453,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/16/23,7/18/23,,"",,179060,7439,rv,,rv,TRUE,8/17/23 10:30,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83233,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/15/23,7/18/23,,"",,175738,1315,rv,,rv,,7/19/23 09:50,"",https://docs.cdn.yougov.com/ay6e0ph68l/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,38.0,
83454,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/15/23,7/17/23,,"",,179061,7439,rv,,rv,TRUE,8/17/23 10:30,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,44.0,43.0,
83455,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/14/23,7/16/23,,"",,179062,7439,rv,,rv,TRUE,8/17/23 10:31,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83249,294,McLaughlin,1989,America's New Majority Project,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,7/13/23,7/16/23,,"",,175847,2000,lv,,lv,,7/21/23 10:52,"",https://americasnewmajorityproject.com/wp-content/uploads/2023/07/20230713-16-State-of-Play-Slides.pdf,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,49.0,
83456,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/13/23,7/15/23,,"",,179063,7439,rv,,rv,TRUE,8/17/23 10:31,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83457,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/12/23,7/14/23,,"",,179064,7439,rv,,rv,TRUE,8/17/23 10:31,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,44.0,
83458,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/11/23,7/13/23,,"",,179065,7439,rv,,rv,TRUE,8/17/23 10:31,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83234,1554,RMG Research,"","",RMG Research,555,RMG Research,B-,,,7/11/23,7/12/23,,"",,178810,,lv,,lv,,8/16/23 09:43,"",https://www.dailysignal.com/2023/08/16/poll-60-of-republican-primary-voters-support-trump-for-president/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,44.0,
83459,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/10/23,7/12/23,,"",,179066,7439,rv,,rv,TRUE,8/17/23 10:32,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83460,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/9/23,7/11/23,,"",,179067,7439,rv,,rv,TRUE,8/17/23 10:32,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,42.0,
83189,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/8/23,7/11/23,,"",,175549,1296,rv,,rv,,7/12/23 11:16,"",https://docs.cdn.yougov.com/03l1353cs3/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,42.0,40.0,
83461,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/8/23,7/10/23,,"",,179068,7439,rv,,rv,TRUE,8/17/23 10:32,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,42.0,
83462,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/7/23,7/9/23,,"",,179069,7439,rv,,rv,TRUE,8/17/23 10:32,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83463,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/6/23,7/8/23,,"",,179070,7439,rv,,rv,TRUE,8/17/23 10:40,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83464,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/5/23,7/7/23,,"",,179071,7439,rv,,rv,TRUE,8/17/23 10:40,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
83166,356,OnMessage Inc.,1758,Senate Opportunity Fund,OnMessage,239,OnMessage Inc.,B/C,Online Panel,,7/5/23,7/6/23,,"",,175433,800,lv,,lv,,7/10/23 09:24,"",https://senopportunity.org/wp-content/uploads/2023/07/2023-07-SOF-44-PUBLIC-DECK49.pdf,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,47.0,
83465,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/4/23,7/6/23,,"",,179072,7439,rv,,rv,TRUE,8/17/23 10:40,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
83466,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/3/23,7/5/23,,"",,179073,7439,rv,,rv,TRUE,8/17/23 10:40,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
83143,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,7/1/23,7/5/23,,"",,175355,1350,rv,,rv,,7/5/23 17:01,"",https://docs.cdn.yougov.com/kpnwbn3sup/econTabReport.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,39.0,
83467,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/2/23,7/4/23,,"",,179074,7439,rv,,rv,TRUE,8/17/23 10:40,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83468,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,7/1/23,7/3/23,,"",,179075,7439,rv,,rv,TRUE,8/17/23 10:41,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,42.0,
83469,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/30/23,7/2/23,,"",,179076,7439,rv,,rv,TRUE,8/17/23 10:41,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83470,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/29/23,7/1/23,,"",,179077,7439,rv,,rv,TRUE,8/17/23 10:42,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
83471,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/28/23,6/30/23,,"",,179078,7439,rv,,rv,TRUE,8/17/23 10:42,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83472,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/27/23,6/29/23,,"",,179079,7439,rv,,rv,TRUE,8/17/23 10:42,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83142,1302,Echelon Insights,"","",Echelon Insights,407,Echelon Insights,A/B,Online Panel,,6/26/23,6/29/23,,"",,175311,1020,lv,,lv,,7/5/23 09:34,"",https://echeloninsights.com/in-the-news/june-2023-omnibus/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,44.0,
84155,921,Clarity,"","",Clarity Campaign Labs,52,Clarity Campaign Labs,B/C,Online Panel,,6/23/23,6/29/23,,"",,181536,1063,rv,,rv,,9/14/23 13:38,"",https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6503069b327c3e71f25343ea/1694697118361/Clarity+Omnibus+Overview+-+June+2023.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,47.0,45.0,
83473,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/26/23,6/28/23,,"",,179080,7439,rv,,rv,TRUE,8/17/23 10:43,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83474,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/25/23,6/27/23,,"",,179081,7439,rv,,rv,TRUE,8/17/23 10:43,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,43.0,
83115,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online Panel,,6/24/23,6/27/23,,"",,175130,1315,rv,,rv,,6/28/23 11:37,"",https://docs.cdn.yougov.com/ez0xfzdbfl/econtoplines.pdf,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,40.0,
83475,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/24/23,6/26/23,,"",,179082,7439,rv,,rv,TRUE,8/17/23 10:43,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83476,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/23/23,6/25/23,,"",,179083,7439,rv,,rv,TRUE,8/17/23 10:43,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83125,294,McLaughlin,1989,America's New Majority Project,McLaughlin & Associates,203,McLaughlin & Associates,C/D,Online Panel,,6/22/23,6/25/23,,"",,175219,2000,lv,,lv,,6/29/23 09:58,"",https://americasnewmajorityproject.com/state-of-play-june-22-25-2023/,"",false,REP,9549,2024,U.S. House,,Generic,11/5/24,general,false,41.0,46.5,
83477,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/22/23,6/24/23,,"",,179084,7439,rv,,rv,TRUE,8/17/23 10:44,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.0,43.0,
83478,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,B-,Online Panel,,6/21/23,6/23/23,,"",,179085,7439,rv,,rv,TRUE,8/17/23 10:44,"",https://pro.morningconsult.com/analysis/2024-generic-ballot-august-2023,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,46.0,42.0,
83117,1347,Cygnal Political,"","",Cygnal,67,Cygnal,A,Online Panel/Text-to-Web,,6/20/23,6/22/23,,"",,175139,2010,lv,,lv,,6/28/23 12:40,"",https://www.cygn.al/poll-republicans-gain-narrow-lead-dems-open-to-rfk-jr-unity-ticket-ties-the-presidential-and-more/,"",false,,9549,2024,U.S. House,,Generic,11/5/24,general,false,45.4,46.2,
