candidate,date,pct_trend_adjusted,state,cycle
Donald Trump,2020-10-18,56.51419,Alabama,2020
Joseph R. Biden Jr.,2020-10-17,38.79713,Alabama,2020
Donald Trump,2020-10-17,56.47707,Alabama,2020
Joseph R. Biden Jr.,2020-10-16,38.76854,Alabama,2020
Donald Trump,2020-10-16,56.44495,Alabama,2020
Joseph R. Biden Jr.,2020-10-15,38.78751,Alabama,2020
Donald Trump,2020-10-15,56.49833,Alabama,2020
Joseph R. Biden Jr.,2020-10-14,38.73291,Alabama,2020
Donald Trump,2020-10-14,56.4792,Alabama,2020
Joseph R. Biden Jr.,2020-10-13,38.82872,Alabama,2020
Donald Trump,2020-10-13,56.54644,Alabama,2020
Joseph R. Biden Jr.,2020-10-12,38.85302,Alabama,2020
Donald Trump,2020-10-12,56.66071,Alabama,2020
Joseph R. Biden Jr.,2020-10-11,38.81808,Alabama,2020
Donald Trump,2020-10-11,56.66233,Alabama,2020
Joseph R. Biden Jr.,2020-10-10,38.7147,Alabama,2020
Donald Trump,2020-10-10,56.68409,Alabama,2020
Joseph R. Biden Jr.,2020-10-09,38.72859,Alabama,2020
Donald Trump,2020-10-09,56.68314,Alabama,2020
Joseph R. Biden Jr.,2020-10-08,38.7104,Alabama,2020
Donald Trump,2020-10-08,56.68,Alabama,2020
Joseph R. Biden Jr.,2020-10-07,38.60518,Alabama,2020
Donald Trump,2020-10-07,56.74497,Alabama,2020
Joseph R. Biden Jr.,2020-10-06,38.53888,Alabama,2020
Donald Trump,2020-10-06,56.84056,Alabama,2020
Joseph R. Biden Jr.,2020-10-05,38.38294,Alabama,2020
Donald Trump,2020-10-05,56.89531,Alabama,2020
Joseph R. Biden Jr.,2020-10-04,38.79457,Alabama,2020
Donald Trump,2020-10-04,56.16731,Alabama,2020
Joseph R. Biden Jr.,2020-10-03,38.74995,Alabama,2020
Donald Trump,2020-10-03,56.24868,Alabama,2020
Joseph R. Biden Jr.,2020-10-02,40.19847,Alabama,2020
Donald Trump,2020-10-02,55.02305,Alabama,2020
Joseph R. Biden Jr.,2020-10-01,40.25048,Alabama,2020
Donald Trump,2020-10-01,54.86464,Alabama,2020
Joseph R. Biden Jr.,2020-09-30,40.13222,Alabama,2020
Donald Trump,2020-09-30,54.94107,Alabama,2020
Joseph R. Biden Jr.,2020-09-29,40.06752,Alabama,2020
Donald Trump,2020-09-29,55.04582,Alabama,2020
Joseph R. Biden Jr.,2020-09-28,40.00489,Alabama,2020
Donald Trump,2020-09-28,55.03178,Alabama,2020
Joseph R. Biden Jr.,2020-09-27,40.03386,Alabama,2020
Donald Trump,2020-09-27,54.98045,Alabama,2020
Joseph R. Biden Jr.,2020-09-26,40.01369,Alabama,2020
Donald Trump,2020-09-26,55.03101,Alabama,2020
Joseph R. Biden Jr.,2020-09-25,39.99683,Alabama,2020
Donald Trump,2020-09-25,55.02092,Alabama,2020
Joseph R. Biden Jr.,2020-09-24,39.98643,Alabama,2020
Donald Trump,2020-09-24,55.03139,Alabama,2020
Joseph R. Biden Jr.,2020-09-23,40.03336,Alabama,2020
Donald Trump,2020-09-23,54.97515,Alabama,2020
Joseph R. Biden Jr.,2020-09-22,40.05239,Alabama,2020
Donald Trump,2020-09-22,55.09833,Alabama,2020
Joseph R. Biden Jr.,2020-09-21,40.04848,Alabama,2020
Donald Trump,2020-09-21,55.08271,Alabama,2020
Joseph R. Biden Jr.,2020-09-20,38.56274,Alabama,2020
Donald Trump,2020-09-20,57.50371,Alabama,2020
Joseph R. Biden Jr.,2020-09-19,38.47115,Alabama,2020
Donald Trump,2020-09-19,57.39062,Alabama,2020
Joseph R. Biden Jr.,2020-09-18,38.47806,Alabama,2020
Donald Trump,2020-09-18,57.38698,Alabama,2020
Joseph R. Biden Jr.,2020-09-17,38.48737,Alabama,2020
Donald Trump,2020-09-17,57.50982,Alabama,2020
Joseph R. Biden Jr.,2020-09-16,38.56852,Alabama,2020
Donald Trump,2020-09-16,57.51117,Alabama,2020
Joseph R. Biden Jr.,2020-09-15,38.62606,Alabama,2020
Donald Trump,2020-09-15,57.40501,Alabama,2020
Joseph R. Biden Jr.,2020-09-14,38.63968,Alabama,2020
Donald Trump,2020-09-14,57.43105,Alabama,2020
Joseph R. Biden Jr.,2020-09-13,38.71006,Alabama,2020
Donald Trump,2020-09-13,57.40562,Alabama,2020
Joseph R. Biden Jr.,2020-09-12,38.68108,Alabama,2020
Donald Trump,2020-09-12,57.29106,Alabama,2020
Joseph R. Biden Jr.,2020-09-11,38.70844,Alabama,2020
Donald Trump,2020-09-11,57.30731,Alabama,2020
Joseph R. Biden Jr.,2020-09-10,38.68338,Alabama,2020
Donald Trump,2020-09-10,57.26731,Alabama,2020
Joseph R. Biden Jr.,2020-09-09,38.64752,Alabama,2020
Donald Trump,2020-09-09,57.14934,Alabama,2020
Joseph R. Biden Jr.,2020-09-08,38.70174,Alabama,2020
Donald Trump,2020-09-08,57.27418,Alabama,2020
Joseph R. Biden Jr.,2020-09-07,38.73855,Alabama,2020
Donald Trump,2020-09-07,57.33044,Alabama,2020
Joseph R. Biden Jr.,2020-09-06,38.73401,Alabama,2020
Donald Trump,2020-09-06,57.26789,Alabama,2020
Joseph R. Biden Jr.,2020-09-05,38.7212,Alabama,2020
Donald Trump,2020-09-05,57.25008,Alabama,2020
Joseph R. Biden Jr.,2020-09-04,38.71917,Alabama,2020
Donald Trump,2020-09-04,57.22912,Alabama,2020
Joseph R. Biden Jr.,2020-09-03,38.63369,Alabama,2020
Donald Trump,2020-09-03,57.21258,Alabama,2020
Joseph R. Biden Jr.,2020-09-02,38.646,Alabama,2020
Donald Trump,2020-09-02,57.18358,Alabama,2020
Joseph R. Biden Jr.,2020-09-01,38.59167,Alabama,2020
Donald Trump,2020-09-01,57.31357,Alabama,2020
Joseph R. Biden Jr.,2020-08-31,38.64412,Alabama,2020
Donald Trump,2020-08-31,57.21243,Alabama,2020
Joseph R. Biden Jr.,2020-08-30,38.55955,Alabama,2020
Donald Trump,2020-08-30,56.69307,Alabama,2020
Joseph R. Biden Jr.,2020-08-29,38.61751,Alabama,2020
Donald Trump,2020-08-29,56.66632,Alabama,2020
Joseph R. Biden Jr.,2020-08-28,38.6725,Alabama,2020
Donald Trump,2020-08-28,56.58497,Alabama,2020
Joseph R. Biden Jr.,2020-08-27,38.56325,Alabama,2020
Donald Trump,2020-08-27,56.79459,Alabama,2020
Joseph R. Biden Jr.,2020-08-26,38.56044,Alabama,2020
Donald Trump,2020-08-26,56.79101,Alabama,2020
Joseph R. Biden Jr.,2020-08-25,38.91346,Alabama,2020
Donald Trump,2020-08-25,56.7649,Alabama,2020
Joseph R. Biden Jr.,2020-08-24,38.9345,Alabama,2020
Donald Trump,2020-08-24,56.74566,Alabama,2020
Joseph R. Biden Jr.,2020-08-23,38.84926,Alabama,2020
Donald Trump,2020-08-23,56.77657,Alabama,2020
Joseph R. Biden Jr.,2020-08-22,38.79379,Alabama,2020
Donald Trump,2020-08-22,56.78541,Alabama,2020
Joseph R. Biden Jr.,2020-08-21,38.85079,Alabama,2020
Donald Trump,2020-08-21,56.95717,Alabama,2020
Joseph R. Biden Jr.,2020-08-20,38.91864,Alabama,2020
Donald Trump,2020-08-20,57.12712,Alabama,2020
Joseph R. Biden Jr.,2020-08-19,38.89732,Alabama,2020
Donald Trump,2020-08-19,57.21159,Alabama,2020
Joseph R. Biden Jr.,2020-08-18,38.93748,Alabama,2020
Donald Trump,2020-08-18,57.22066,Alabama,2020
Joseph R. Biden Jr.,2020-08-17,38.96464,Alabama,2020
Donald Trump,2020-08-17,57.22438,Alabama,2020
Joseph R. Biden Jr.,2020-08-16,38.90641,Alabama,2020
Donald Trump,2020-08-16,57.24234,Alabama,2020
Joseph R. Biden Jr.,2020-08-15,38.93313,Alabama,2020
Donald Trump,2020-08-15,56.97794,Alabama,2020
Joseph R. Biden Jr.,2020-08-14,38.93307,Alabama,2020
Donald Trump,2020-08-14,56.97776,Alabama,2020
Joseph R. Biden Jr.,2020-08-13,38.7906,Alabama,2020
Donald Trump,2020-08-13,56.95347,Alabama,2020
Joseph R. Biden Jr.,2020-08-12,38.58107,Alabama,2020
Donald Trump,2020-08-12,56.87304,Alabama,2020
Joseph R. Biden Jr.,2020-08-11,38.60927,Alabama,2020
Donald Trump,2020-08-11,56.84695,Alabama,2020
Joseph R. Biden Jr.,2020-08-10,38.53507,Alabama,2020
Donald Trump,2020-08-10,56.70645,Alabama,2020
Joseph R. Biden Jr.,2020-08-09,38.44164,Alabama,2020
Donald Trump,2020-08-09,56.74491,Alabama,2020
Joseph R. Biden Jr.,2020-08-08,38.44512,Alabama,2020
Donald Trump,2020-08-08,56.74367,Alabama,2020
Joseph R. Biden Jr.,2020-08-07,38.44512,Alabama,2020
Donald Trump,2020-08-07,56.74367,Alabama,2020
Joseph R. Biden Jr.,2020-08-06,38.48676,Alabama,2020
Donald Trump,2020-08-06,56.8285,Alabama,2020
Joseph R. Biden Jr.,2020-08-05,38.62354,Alabama,2020
Donald Trump,2020-08-05,56.98926,Alabama,2020
Joseph R. Biden Jr.,2020-08-04,38.69969,Alabama,2020
Donald Trump,2020-08-04,56.8861,Alabama,2020
Joseph R. Biden Jr.,2020-08-03,39.93568,Alabama,2020
Donald Trump,2020-08-03,56.3838,Alabama,2020
Joseph R. Biden Jr.,2020-08-02,39.7635,Alabama,2020
Donald Trump,2020-08-02,56.25692,Alabama,2020
Joseph R. Biden Jr.,2020-08-01,39.76196,Alabama,2020
Donald Trump,2020-08-01,56.29106,Alabama,2020
Joseph R. Biden Jr.,2020-07-31,39.76196,Alabama,2020
Donald Trump,2020-07-31,56.29106,Alabama,2020
Joseph R. Biden Jr.,2020-07-30,39.61344,Alabama,2020
Donald Trump,2020-07-30,56.10118,Alabama,2020
Joseph R. Biden Jr.,2020-07-29,39.66921,Alabama,2020
Donald Trump,2020-07-29,56.11136,Alabama,2020
Joseph R. Biden Jr.,2020-07-28,39.76757,Alabama,2020
Donald Trump,2020-07-28,56.11004,Alabama,2020
Joseph R. Biden Jr.,2020-07-27,39.70448,Alabama,2020
Donald Trump,2020-07-27,56.07613,Alabama,2020
Joseph R. Biden Jr.,2020-07-26,39.71048,Alabama,2020
Donald Trump,2020-07-26,56.14587,Alabama,2020
Joseph R. Biden Jr.,2020-07-25,39.6885,Alabama,2020
Donald Trump,2020-07-25,56.12971,Alabama,2020
Joseph R. Biden Jr.,2020-07-24,39.67952,Alabama,2020
Donald Trump,2020-07-24,56.12854,Alabama,2020
Joseph R. Biden Jr.,2020-07-23,39.62965,Alabama,2020
Donald Trump,2020-07-23,56.15191,Alabama,2020
Joseph R. Biden Jr.,2020-07-22,39.47981,Alabama,2020
Donald Trump,2020-07-22,56.10134,Alabama,2020
Joseph R. Biden Jr.,2020-07-21,39.92621,Alabama,2020
Donald Trump,2020-07-21,55.53509,Alabama,2020
Joseph R. Biden Jr.,2020-07-20,39.92821,Alabama,2020
Donald Trump,2020-07-20,55.53634,Alabama,2020
Joseph R. Biden Jr.,2020-07-19,39.95937,Alabama,2020
Donald Trump,2020-07-19,55.49152,Alabama,2020
Joseph R. Biden Jr.,2020-07-18,39.90594,Alabama,2020
Donald Trump,2020-07-18,55.38413,Alabama,2020
Joseph R. Biden Jr.,2020-07-17,39.86646,Alabama,2020
Donald Trump,2020-07-17,55.38838,Alabama,2020
Joseph R. Biden Jr.,2020-07-16,39.86694,Alabama,2020
Donald Trump,2020-07-16,55.37033,Alabama,2020
Joseph R. Biden Jr.,2020-07-15,39.85823,Alabama,2020
Donald Trump,2020-07-15,55.38335,Alabama,2020
Joseph R. Biden Jr.,2020-07-14,39.93465,Alabama,2020
Donald Trump,2020-07-14,55.37132,Alabama,2020
Joseph R. Biden Jr.,2020-07-13,39.89526,Alabama,2020
Donald Trump,2020-07-13,55.3835,Alabama,2020
Joseph R. Biden Jr.,2020-07-12,40.05635,Alabama,2020
Donald Trump,2020-07-12,55.39809,Alabama,2020
Joseph R. Biden Jr.,2020-07-11,40.07582,Alabama,2020
Donald Trump,2020-07-11,55.38868,Alabama,2020
Joseph R. Biden Jr.,2020-07-10,40.05813,Alabama,2020
Donald Trump,2020-07-10,55.40886,Alabama,2020
Joseph R. Biden Jr.,2020-07-09,39.49619,Alabama,2020
Donald Trump,2020-07-09,54.70234,Alabama,2020
Joseph R. Biden Jr.,2020-07-08,39.40288,Alabama,2020
Donald Trump,2020-07-08,54.67959,Alabama,2020
Joseph R. Biden Jr.,2020-07-07,39.5967,Alabama,2020
Donald Trump,2020-07-07,54.84164,Alabama,2020
Joseph R. Biden Jr.,2020-07-06,39.55921,Alabama,2020
Donald Trump,2020-07-06,54.82105,Alabama,2020
Joseph R. Biden Jr.,2020-07-05,39.56384,Alabama,2020
Donald Trump,2020-07-05,54.81922,Alabama,2020
Joseph R. Biden Jr.,2020-07-04,39.5612,Alabama,2020
Donald Trump,2020-07-04,54.8194,Alabama,2020
Joseph R. Biden Jr.,2020-07-03,39.5612,Alabama,2020
Donald Trump,2020-07-03,54.81928,Alabama,2020
Joseph R. Biden Jr.,2020-07-02,39.56585,Alabama,2020
Donald Trump,2020-07-02,54.81054,Alabama,2020
Joseph R. Biden Jr.,2020-07-01,39.53895,Alabama,2020
Donald Trump,2020-07-01,54.78703,Alabama,2020
Joseph R. Biden Jr.,2020-06-30,39.53128,Alabama,2020
Donald Trump,2020-06-30,54.75846,Alabama,2020
Joseph R. Biden Jr.,2020-06-29,39.38216,Alabama,2020
Donald Trump,2020-06-29,54.67665,Alabama,2020
Joseph R. Biden Jr.,2020-06-28,39.49397,Alabama,2020
Donald Trump,2020-06-28,54.73372,Alabama,2020
Joseph R. Biden Jr.,2020-06-27,39.49397,Alabama,2020
Donald Trump,2020-06-27,54.73372,Alabama,2020
Joseph R. Biden Jr.,2020-06-26,39.52815,Alabama,2020
Donald Trump,2020-06-26,54.71508,Alabama,2020
Joseph R. Biden Jr.,2020-06-25,39.43473,Alabama,2020
Donald Trump,2020-06-25,54.54489,Alabama,2020
Joseph R. Biden Jr.,2020-06-24,39.44043,Alabama,2020
Donald Trump,2020-06-24,54.90934,Alabama,2020
Joseph R. Biden Jr.,2020-06-23,39.46912,Alabama,2020
Donald Trump,2020-06-23,55.09182,Alabama,2020
Joseph R. Biden Jr.,2020-06-22,39.31334,Alabama,2020
Donald Trump,2020-06-22,55.03316,Alabama,2020
Joseph R. Biden Jr.,2020-06-21,38.76559,Alabama,2020
Donald Trump,2020-06-21,57.19857,Alabama,2020
Joseph R. Biden Jr.,2020-06-20,38.78284,Alabama,2020
Donald Trump,2020-06-20,57.18686,Alabama,2020
Joseph R. Biden Jr.,2020-06-19,38.73467,Alabama,2020
Donald Trump,2020-06-19,57.14979,Alabama,2020
Joseph R. Biden Jr.,2020-06-18,38.80234,Alabama,2020
Donald Trump,2020-06-18,57.13243,Alabama,2020
Joseph R. Biden Jr.,2020-06-17,38.93076,Alabama,2020
Donald Trump,2020-06-17,57.16165,Alabama,2020
Joseph R. Biden Jr.,2020-06-16,38.88362,Alabama,2020
Donald Trump,2020-06-16,57.23239,Alabama,2020
Joseph R. Biden Jr.,2020-06-15,38.71458,Alabama,2020
Donald Trump,2020-06-15,57.33911,Alabama,2020
Joseph R. Biden Jr.,2020-06-14,38.70737,Alabama,2020
Donald Trump,2020-06-14,57.3319,Alabama,2020
Joseph R. Biden Jr.,2020-06-13,38.66259,Alabama,2020
Donald Trump,2020-06-13,57.36686,Alabama,2020
Joseph R. Biden Jr.,2020-06-12,38.68166,Alabama,2020
Donald Trump,2020-06-12,57.72307,Alabama,2020
Joseph R. Biden Jr.,2020-06-11,38.68654,Alabama,2020
Donald Trump,2020-06-11,57.72208,Alabama,2020
Joseph R. Biden Jr.,2020-06-10,38.68334,Alabama,2020
Donald Trump,2020-06-10,57.71926,Alabama,2020
Joseph R. Biden Jr.,2020-06-09,38.66572,Alabama,2020
Donald Trump,2020-06-09,57.74106,Alabama,2020
Joseph R. Biden Jr.,2020-06-08,38.59361,Alabama,2020
Donald Trump,2020-06-08,57.80598,Alabama,2020
Joseph R. Biden Jr.,2020-06-07,38.59055,Alabama,2020
Donald Trump,2020-06-07,57.81376,Alabama,2020
Joseph R. Biden Jr.,2020-06-06,38.6437,Alabama,2020
Donald Trump,2020-06-06,57.92537,Alabama,2020
Joseph R. Biden Jr.,2020-06-05,38.54298,Alabama,2020
Donald Trump,2020-06-05,58.02461,Alabama,2020
Joseph R. Biden Jr.,2020-06-04,38.38034,Alabama,2020
Donald Trump,2020-06-04,58.04017,Alabama,2020
Joseph R. Biden Jr.,2020-06-03,38.33644,Alabama,2020
Donald Trump,2020-06-03,58.13794,Alabama,2020
Joseph R. Biden Jr.,2020-06-02,38.10083,Alabama,2020
Donald Trump,2020-06-02,57.82137,Alabama,2020
Joseph R. Biden Jr.,2020-06-01,38.03936,Alabama,2020
Donald Trump,2020-06-01,57.81593,Alabama,2020
Joseph R. Biden Jr.,2020-05-31,37.95833,Alabama,2020
Donald Trump,2020-05-31,57.86673,Alabama,2020
Joseph R. Biden Jr.,2020-05-30,38.02934,Alabama,2020
Donald Trump,2020-05-30,57.88862,Alabama,2020
Joseph R. Biden Jr.,2020-05-29,38.07817,Alabama,2020
Donald Trump,2020-05-29,57.95419,Alabama,2020
Joseph R. Biden Jr.,2020-05-28,38.07817,Alabama,2020
Donald Trump,2020-05-28,57.95419,Alabama,2020
Joseph R. Biden Jr.,2020-05-27,38.03529,Alabama,2020
Donald Trump,2020-05-27,57.75603,Alabama,2020
Joseph R. Biden Jr.,2020-05-26,38.25752,Alabama,2020
Donald Trump,2020-05-26,57.8667,Alabama,2020
Joseph R. Biden Jr.,2020-05-25,38.11713,Alabama,2020
Donald Trump,2020-05-25,57.83276,Alabama,2020
Joseph R. Biden Jr.,2020-05-24,38.11713,Alabama,2020
Donald Trump,2020-05-24,57.83276,Alabama,2020
Joseph R. Biden Jr.,2020-05-23,38.16854,Alabama,2020
Donald Trump,2020-05-23,57.84563,Alabama,2020
Joseph R. Biden Jr.,2020-05-22,38.15701,Alabama,2020
Donald Trump,2020-05-22,57.87766,Alabama,2020
Joseph R. Biden Jr.,2020-05-21,38.14024,Alabama,2020
Donald Trump,2020-05-21,57.87798,Alabama,2020
Joseph R. Biden Jr.,2020-05-20,38.2851,Alabama,2020
Donald Trump,2020-05-20,57.93423,Alabama,2020
Joseph R. Biden Jr.,2020-05-19,38.30388,Alabama,2020
Donald Trump,2020-05-19,58.02181,Alabama,2020
Joseph R. Biden Jr.,2020-05-18,38.21172,Alabama,2020
Donald Trump,2020-05-18,58.04348,Alabama,2020
Joseph R. Biden Jr.,2020-05-17,38.33116,Alabama,2020
Donald Trump,2020-05-17,58.24955,Alabama,2020
Joseph R. Biden Jr.,2020-05-16,38.38199,Alabama,2020
Donald Trump,2020-05-16,58.19925,Alabama,2020
Joseph R. Biden Jr.,2020-05-15,38.37395,Alabama,2020
Donald Trump,2020-05-15,58.25119,Alabama,2020
Joseph R. Biden Jr.,2020-05-14,38.35669,Alabama,2020
Donald Trump,2020-05-14,58.23779,Alabama,2020
Joseph R. Biden Jr.,2020-05-13,38.22349,Alabama,2020
Donald Trump,2020-05-13,58.25011,Alabama,2020
Joseph R. Biden Jr.,2020-05-12,38.26811,Alabama,2020
Donald Trump,2020-05-12,58.16938,Alabama,2020
Joseph R. Biden Jr.,2020-05-11,38.23402,Alabama,2020
Donald Trump,2020-05-11,58.21305,Alabama,2020
Joseph R. Biden Jr.,2020-05-10,38.23652,Alabama,2020
Donald Trump,2020-05-10,58.21631,Alabama,2020
Joseph R. Biden Jr.,2020-05-09,38.13063,Alabama,2020
Donald Trump,2020-05-09,58.06253,Alabama,2020
Joseph R. Biden Jr.,2020-05-08,38.24854,Alabama,2020
Donald Trump,2020-05-08,58.17259,Alabama,2020
Joseph R. Biden Jr.,2020-05-07,38.21912,Alabama,2020
Donald Trump,2020-05-07,58.19831,Alabama,2020
Joseph R. Biden Jr.,2020-05-06,38.22971,Alabama,2020
Donald Trump,2020-05-06,58.20443,Alabama,2020
Joseph R. Biden Jr.,2020-05-05,38.35905,Alabama,2020
Donald Trump,2020-05-05,58.2305,Alabama,2020
Joseph R. Biden Jr.,2020-05-04,38.50509,Alabama,2020
Donald Trump,2020-05-04,58.13171,Alabama,2020
Joseph R. Biden Jr.,2020-05-03,38.39417,Alabama,2020
Donald Trump,2020-05-03,58.16469,Alabama,2020
Joseph R. Biden Jr.,2020-05-02,38.44685,Alabama,2020
Donald Trump,2020-05-02,58.15477,Alabama,2020
Joseph R. Biden Jr.,2020-05-01,38.42208,Alabama,2020
Donald Trump,2020-05-01,58.18564,Alabama,2020
Joseph R. Biden Jr.,2020-04-30,38.33291,Alabama,2020
Donald Trump,2020-04-30,58.19189,Alabama,2020
Joseph R. Biden Jr.,2020-04-29,38.33298,Alabama,2020
Donald Trump,2020-04-29,58.19186,Alabama,2020
Joseph R. Biden Jr.,2020-04-28,38.60152,Alabama,2020
Donald Trump,2020-04-28,58.21791,Alabama,2020
Joseph R. Biden Jr.,2020-04-27,38.33168,Alabama,2020
Donald Trump,2020-04-27,58.03267,Alabama,2020
Joseph R. Biden Jr.,2020-04-26,38.36283,Alabama,2020
Donald Trump,2020-04-26,58.07116,Alabama,2020
Joseph R. Biden Jr.,2020-04-25,38.39729,Alabama,2020
Donald Trump,2020-04-25,58.09285,Alabama,2020
Joseph R. Biden Jr.,2020-04-24,38.37817,Alabama,2020
Donald Trump,2020-04-24,58.2428,Alabama,2020
Joseph R. Biden Jr.,2020-04-23,38.37817,Alabama,2020
Donald Trump,2020-04-23,58.2428,Alabama,2020
Joseph R. Biden Jr.,2020-04-22,38.37817,Alabama,2020
Donald Trump,2020-04-22,58.2428,Alabama,2020
Joseph R. Biden Jr.,2020-04-21,38.37817,Alabama,2020
Donald Trump,2020-04-21,58.2428,Alabama,2020
Joseph R. Biden Jr.,2020-04-20,38.29927,Alabama,2020
Donald Trump,2020-04-20,58.402,Alabama,2020
Joseph R. Biden Jr.,2020-04-19,38.23854,Alabama,2020
Donald Trump,2020-04-19,58.53298,Alabama,2020
Joseph R. Biden Jr.,2020-04-18,38.24128,Alabama,2020
Donald Trump,2020-04-18,58.62004,Alabama,2020
Joseph R. Biden Jr.,2020-04-17,38.165,Alabama,2020
Donald Trump,2020-04-17,58.60684,Alabama,2020
Joseph R. Biden Jr.,2020-04-16,38.15752,Alabama,2020
Donald Trump,2020-04-16,58.58776,Alabama,2020
Joseph R. Biden Jr.,2020-04-15,37.99491,Alabama,2020
Donald Trump,2020-04-15,58.43251,Alabama,2020
Joseph R. Biden Jr.,2020-04-14,37.76068,Alabama,2020
Donald Trump,2020-04-14,58.58034,Alabama,2020
Joseph R. Biden Jr.,2020-04-13,37.58122,Alabama,2020
Donald Trump,2020-04-13,58.53407,Alabama,2020
Joseph R. Biden Jr.,2020-04-12,37.58134,Alabama,2020
Donald Trump,2020-04-12,58.53412,Alabama,2020
Joseph R. Biden Jr.,2020-04-11,37.7736,Alabama,2020
Donald Trump,2020-04-11,58.11115,Alabama,2020
Joseph R. Biden Jr.,2020-04-10,37.83937,Alabama,2020
Donald Trump,2020-04-10,58.12106,Alabama,2020
Joseph R. Biden Jr.,2020-04-09,37.90387,Alabama,2020
Donald Trump,2020-04-09,58.14983,Alabama,2020
Joseph R. Biden Jr.,2020-04-08,37.90506,Alabama,2020
Donald Trump,2020-04-08,58.1551,Alabama,2020
Joseph R. Biden Jr.,2020-04-07,37.88539,Alabama,2020
Donald Trump,2020-04-07,58.1825,Alabama,2020
Joseph R. Biden Jr.,2020-04-06,38.2012,Alabama,2020
Donald Trump,2020-04-06,58.11136,Alabama,2020
Joseph R. Biden Jr.,2020-04-05,38.07277,Alabama,2020
Donald Trump,2020-04-05,58.20308,Alabama,2020
Joseph R. Biden Jr.,2020-04-04,38.04031,Alabama,2020
Donald Trump,2020-04-04,58.15678,Alabama,2020
Joseph R. Biden Jr.,2020-04-03,38.04546,Alabama,2020
Donald Trump,2020-04-03,58.19347,Alabama,2020
Joseph R. Biden Jr.,2020-04-02,38.24648,Alabama,2020
Donald Trump,2020-04-02,58.24221,Alabama,2020
Joseph R. Biden Jr.,2020-04-01,38.24648,Alabama,2020
Donald Trump,2020-04-01,58.24221,Alabama,2020
Joseph R. Biden Jr.,2020-03-31,38.28572,Alabama,2020
Donald Trump,2020-03-31,58.28249,Alabama,2020
Joseph R. Biden Jr.,2020-03-30,38.35308,Alabama,2020
Donald Trump,2020-03-30,58.30669,Alabama,2020
Joseph R. Biden Jr.,2020-03-29,38.46451,Alabama,2020
Donald Trump,2020-03-29,58.32366,Alabama,2020
Joseph R. Biden Jr.,2020-03-28,38.49376,Alabama,2020
Donald Trump,2020-03-28,58.35417,Alabama,2020
Joseph R. Biden Jr.,2020-03-27,38.53601,Alabama,2020
Donald Trump,2020-03-27,58.46116,Alabama,2020
Joseph R. Biden Jr.,2020-03-26,38.53601,Alabama,2020
Donald Trump,2020-03-26,58.46116,Alabama,2020
Joseph R. Biden Jr.,2020-03-25,38.41365,Alabama,2020
Donald Trump,2020-03-25,58.43145,Alabama,2020
Joseph R. Biden Jr.,2020-03-24,38.39019,Alabama,2020
Donald Trump,2020-03-24,58.22153,Alabama,2020
Joseph R. Biden Jr.,2020-03-23,38.61094,Alabama,2020
Donald Trump,2020-03-23,58.76164,Alabama,2020
Joseph R. Biden Jr.,2020-03-22,38.6665,Alabama,2020
Donald Trump,2020-03-22,58.89537,Alabama,2020
Joseph R. Biden Jr.,2020-03-21,38.73964,Alabama,2020
Donald Trump,2020-03-21,58.7887,Alabama,2020
Joseph R. Biden Jr.,2020-03-20,38.74162,Alabama,2020
